cudnn_convolution_op_float|i+1_3_32_32|w+96_3_3_3|o+1_96_32_32|ws+1_1|wd+1_1|p+1_1
cudnn_convolution_op_float|i+1_96_32_32|w+32_96_1_1|o+1_32_32_32|ws+1_1|wd+1_1|p+0_0
cudnn_convolution_op_float|i+1_96_32_32|w+32_96_1_1|o+1_32_32_32|ws+1_1|wd+1_1|p+0_0
cudnn_convolution_op_float|i+1_96_32_32|w+32_96_1_1|o+1_32_32_32|ws+1_1|wd+1_1|p+0_0
cudnn_convolution_op_float|i+1_96_32_32|w+32_96_1_1|o+1_32_32_32|ws+1_1|wd+1_1|p+0_0
cudnn_convolution_op_float|i+1_96_32_32|w+32_96_1_1|o+1_32_32_32|ws+1_1|wd+1_1|p+0_0
cudnn_convolution_op_float|i+1_96_32_32|w+32_96_1_1|o+1_32_32_32|ws+1_1|wd+1_1|p+0_0
cudnn_convolution_op_float|i+1_96_32_32|w+32_96_1_1|o+1_32_32_32|ws+1_1|wd+1_1|p+0_0
cudnn_convolution_op_float|i+1_96_32_32|w+32_96_1_1|o+1_32_32_32|ws+1_1|wd+1_1|p+0_0
cudnn_convolution_op_float|i+1_96_32_32|w+32_96_1_1|o+1_32_32_32|ws+1_1|wd+1_1|p+0_0
cudnn_convolution_op_float|i+1_32_32_32|w+32_32_1_1|o+1_32_32_32|ws+1_1|wd+1_1|p+0_0
cudnn_convolution_op_float|i+1_32_32_32|w+32_32_1_1|o+1_32_32_32|ws+1_1|wd+1_1|p+0_0
cudnn_convolution_op_float|i+1_32_32_32|w+32_32_1_1|o+1_32_32_32|ws+1_1|wd+1_1|p+0_0
cudnn_convolution_op_float|i+1_32_32_32|w+32_32_1_1|o+1_32_32_32|ws+1_1|wd+1_1|p+0_0
cudnn_convolution_op_float|i+1_32_32_32|w+32_32_1_1|o+1_32_32_32|ws+1_1|wd+1_1|p+0_0
cudnn_convolution_op_float|i+1_32_32_32|w+32_32_1_1|o+1_32_32_32|ws+1_1|wd+1_1|p+0_0
cudnn_convolution_op_float|i+1_32_32_32|w+32_32_1_1|o+1_32_32_32|ws+1_1|wd+1_1|p+0_0
cudnn_convolution_op_float|i+1_32_32_32|w+32_32_1_1|o+1_32_32_32|ws+1_1|wd+1_1|p+0_0
cudnn_convolution_op_float|i+1_32_32_32|w+32_32_1_1|o+1_32_32_32|ws+1_1|wd+1_1|p+0_0
cudnn_convolution_op_float|i+1_32_32_32|w+32_32_1_1|o+1_32_32_32|ws+1_1|wd+1_1|p+0_0
cudnn_convolution_op_float|i+1_32_32_32|w+32_32_1_1|o+1_32_32_32|ws+1_1|wd+1_1|p+0_0
cudnn_convolution_op_float|i+1_32_32_32|w+32_32_1_1|o+1_32_32_32|ws+1_1|wd+1_1|p+0_0
