OP	CUBLAS(TF)	TVM	Roller-Top1	Roller-Top10
M3	6.416531324	N/A	10.536	8.893
M4	1.767885685	2.19	2.6579	2.4353
M5	5.864571571	N/A	12.192	8.3842
M6	22.32740307	N/A	41.561	34.094
