Batch	TF	TVM	Ansor	Roller-Top1	Roller-Top10
512	0.355667968	3.60757	0.388226	0.5139	0.47054
1K	0.658919685	23.69572	0.757596	0.9688	0.90955
2K	1.346937065	35.474817	1.44746	1.6977	1.6444
4K	2.562807338	25.912	2.876	3.1521	3.0596
8K	5.073061719	16.21012	5.5711	6.2808	5.4001
16K	10.05117526	13.759	10.4395	12.444	10.766
