OP	Ansor	Autotvm
C0	2460.0562099999997	2402.4530243873596
C1	3163.458959999997	2831.205460548401
C2	2651.3191099999963	1713.554857969284
C3	2611.2421100000033	2936.495096921921
C4	2320.9474699999996	2336.417555809021
C5	2302.588159999996	2227.387454509735
C6	2675.664809999999	2472.5294728279114
C7	3494.468429999999	2621.037273645401
C8	3078.9089199999976	2836.6755952835083
C9	3057.491700000006	2813.459843158722
C10	3045.7682700000005	3907.752916097641
C11	2580.2259100000015	2143.7147512435913
C12	3761.404020000003	2793.2507586479187
C13	7656.584919999994	7661.944536924362
C14	4644.212820000004	4929.682941198349
C15	3558.7572299999983	2666.269138813019
C16	4236.209970000001	3043.174999475479
C17	4213.320500000002	3075.8879566192627
C18	4383.4577500000005	2848.1491878032684
C19	3569.1531399999994	2071.132712364197
C20	3631.0178200000046	2019.4936842918396
C21	3348.6580599999957	2354.8785288333893
C22	3533.7147299999956	2678.2159101963043
C23	3315.0905900000007	2713.061470746994
C24	5074.262919999998	5234.006683111191
C25	2688.16907	2281.4285366535187
C26	2841.070519999998	2137.868951320648
C27	2957.942759999997	2479.1706511974335
C28	3874.1468600000007	3554.3931620121
C29	2831.7011700000025	1956.0113172531128
C30	3300.28561	2763.538022994995
C31	2809.9437399999956	2660.574705839157
C32	4221.940999999999	4101.282920837402
C33	6709.346750000005	6676.463663578033
C34	3279.3060699999987	2502.734165430069
C35	3909.8739300000016	3899.136387348175
C36	8415.873890000006	6637.746349096298
C37	4293.879400000001	3236.196480035782
C38	2757.3264899999954	1784.5255732536316
C39	2999.929069999998	2584.2897024154663
C40	5728.246740000008	5306.191632032394
C41	3718.038680000001	2458.1683478355408
C42	4051.309779999995	3599.068375349045
C43	3235.930129999998	3589.029227733612
D0	3687.2273599999994	2654.934828042984
D1	3327.4192100000005	1947.466091632843
D2	2610.9524200000014	1952.5114455223083
D3	4162.9554	2453.347193479538
D4	3784.558129999993	2578.627597808838
D5	2719.63674	1863.3288869857788
D6	3683.449799999994	2542.284348011017
D7	3041.4241400000005	2014.8069202899933
D8	2713.3107700000014	1888.1250638961792
D9	2679.740390000005	2158.779901742935
D10	2778.5473499999985	2222.0741772651672
D11	2931.552399999996	2178.315573692322
D12	2478.488400000004	2045.8274965286255
D13	2811.630150000002	2549.3712272644043
D14	2217.7194799999984	2039.2904088497162
D15	3233.750510000002	2236.9662685394287
D16	6638.289430000003	3970.6113328933716
D17	2239.0767800000003	1960.8063173294067
D18	3183.629590000002	2509.9640510082245
D19	2489.762880000001	1879.7748384475708
D20	6772.456510000002	4777.857757091522
D21	2173.0715000000023	1774.5469596385956
D22	2377.765310000003	1719.8221459388733
E0	171.81978	15.188918590545654
E1	17.36022	1.368994951248169
E2	21.380940000000002	2.613948106765747
E3	18.591110000000004	1.480355978012085
E4	303.1127	21.911627769470215
E5	74.13213	5.125809192657471
E6	49.87123	3.1953771114349365
E7	44.04845000000001	7.12114953994751
E8	44.93538	6.81206488609314
E9	18.500230000000002	1.5961823463439941
E10	29.104729999999996	3.742581844329834
E11	21.82434	2.1011574268341064
E12	97.85573000000002	7.562382698059082
E13	34.28194	1.5448832511901855
E14	86.96402	9.989328384399414
E15	22.152659999999997	2.4509472846984863
E16	51.63317999999999	2.9709057807922363
E17	42.97885	1.6577444076538086
E18	70.25457999999999	4.677948951721191
E19	18.579610000000002	1.013587474822998
E20	18.827560000000002	1.3116130828857422
E21	53.82256000000001	5.231032371520996
E22	77.72751	5.602558612823486
E23	193.81269999999998	9.656648397445679
E24	55.323059999999984	3.0373611450195312
E25	51.818020000000004	2.0632736682891846
E26	37.881099999999996	3.121386766433716
E27	29.23319	4.0413289070129395
M0	2712.890759999998	1777.2067501544952
M1	2410.2695800000015	1354.0634846687317
M2	2864.0664599999936	1521.9695143699646
M3	6302.033360000001	24919.716250896454
M4	3742.40161	4985.6284346580505
M5	6867.0905700000085	22567.888270378113
M6	91809.90410000015	28412.896250009537
P0	4466.000270000001	3.826082706451416
P1	2854.720389999999	1.3608853816986084
P2	3082.7058599999946	2.3858561515808105
P3	5569.5287899999985	4.9307475090026855
P4	3480.8784500000006	2.5249667167663574
P5	3387.1583400000036	2.6729319095611572
P6	2725.006370000003	1.232558012008667
P7	5342.586010000003	7.161752223968506
P8	3971.5730100000046	2.8684160709381104
P9	4449.480080000002	3.900691032409668
P10	2693.13205	1.1955647468566895
P11	2693.1492899999994	1.448747158050537
P12	2962.983499999999	2.310163736343384
R0	260.26407	2.0941579341888428
R1	164.28982000000002	2.4830281734466553
R2	444.2771	2.1038904190063477
R3	165.96290999999997	1.0465807914733887
