ID	TVM	Ansor	Roller-Top1	Roller-Top10
0	0.687940598	17.36022	0.012165	8.651535
1	0.832627773	18.50023	0.012248	8.8779823
2	0.926563501	18.57961	0.012368	8.9297168
3	1.016808987	18.59111	0.0123753	9.047833
4	1.039264917	18.82756	0.01254153	9.27693
5	1.125792265	21.38094	0.01299762	9.627146
6	1.13256526	21.82434	0.013	9.64835
7	1.138425589	22.15266	0.013096	9.64949774
8	1.307816982	29.10473	0.013111	9.830307
9	1.312363148	29.23319	0.0132946	9.859027
10	1.429616928	34.28194	0.0133855	9.96067762
11	1.441869259	37.8811	0.013387	10.00799
12	1.494183779	42.97885	0.013643	10.09151
13	1.734469175	44.04845	0.01375	10.1119
14	1.754088879	44.93538	0.013842	10.17559
15	1.769715071	49.87123	0.01388	10.33959
16	1.775827885	51.63318	0.014053	10.346463
17	1.807124376	51.81802	0.014084	10.47973
18	1.840850592	53.82256	0.014189	10.54325
19	1.851120949	55.32306	0.01419949	10.68824
20	1.971543074	70.25458	0.0143828	10.69041
21	2.100432158	74.13213	0.014434	10.8186891
22	2.131020069	77.72751	0.01479	10.9217162
23	2.315018654	86.96402	0.014798	11.051471
24	2.325978518	97.85573	0.015929	11.2612
25	2.354940176	164.28982	0.01622	11.456278
26	2.465961218	165.96291	0.017111	11.50895
27	2.808835745	171.81978	0.017591	11.5961
28	2.947259426	193.8127	0.01765394	11.63705
29	2.964082718	260.26407	0.017838	11.78906
30	3.272426844	303.1127	0.019069	11.896087
31	3.463126183	358.86	0.0237104	11.91731
32	3.496853113	444.2771	0.03517317	11.9372463
33	4.04892087	1796.58	0.03588	12.025968
34	4.135289192	1870.18	0.0359666	12.0304315
35	4.165178299	1980.92	0.036137	12.0454645
36	4.661594152	2030.44	0.036688	12.1131
37	5.374114275	2068.02	0.0432	12.1796793
38	5.392328262	2120.61	0.043853	12.192
39	5.983192205	2128.22	0.06624	12.26934
40	6.540442467	2144.24	0.0788266	12.36984
41	7.521293402	2183.13	0.0809822	12.384045
42	7.527640104	2189.24	0.08109188	12.4231
43	11.48748064	2192.83	0.092162	12.4459
44	16.75064754	2199.17	0.093892	12.46078
45	1354.063485	2208.75	0.09391	12.53073
46	1521.969514	2219.51	0.0940377	12.5604
47	1713.554858	2245.55	0.101938	12.71663
48	1719.822146	2293.38	0.1078672	12.776
49	1774.54696	2294.64	0.1092948	12.813
50	1777.20675	2297.95	0.114309	12.88721
51	1784.525573	2336.22	0.11719	12.8895
52	1863.328887	2384.53	0.1178002	12.94595
53	1879.774838	2389.84	0.1185371	13.08097
54	1888.125064	2407.94	0.1206545	13.083518
55	1947.466092	2409.91	0.120735	13.138552
56	1952.511446	2419.8	0.129229	13.198382
57	1956.011317	2441.55	0.16614437	13.28835
58	1960.806317	2442.22	0.1669638	13.3208227
59	2014.80692	2457.79	0.1676993	13.506807
60	2019.493684	2494.17	0.1794219	13.5405
61	2039.290409	2507.35	0.1823396	13.5421
62	2045.827497	2520.06	0.18580484	13.545888
63	2071.132712	2544.47	0.2813	13.6261
64	2137.868951	2568.19	0.30375	13.690815
65	2143.714751	2586.49	0.30649	13.695692
66	2158.779902	2657.13	0.3163683	13.6974
67	2178.315574	2681.29	0.3188099	13.7704
68	2222.074177	2693.13205	0.43320679	13.8014
69	2227.387455	2693.14929	0.45487	13.84738
70	2236.966269	2703.5	0.462253	13.84902
71	2281.428537	2705.06	0.5535464	13.8587
72	2336.417556	2716.67	0.571152687	13.8652
73	2354.878529	2722.55	0.5980517	13.89954
74	2402.453024	2725.00637	0.6019847	13.9527125
75	2453.347193	2736.45	0.621395588	14.0473058
76	2458.168348	2737.28	0.653149	14.095896
77	2472.529473	2772.85	0.659235	14.09980798
78	2479.170651	2854.72039	0.68044161	14.1605696
79	2502.734165	2866.03	0.755108	14.1941
80	2509.964051	2879.21	0.767382	14.223179
81	2542.284348	2887.65	0.7690446	14.238205
82	2549.371227	2894.49	0.786842	14.287
83	2578.627598	2931.66	0.791842	14.327949
84	2584.289702	2962.9835	0.803380489	14.39554
85	2621.037274	3050.67	0.820941	14.4121
86	2654.934828	3082.70586	0.8386547	14.510922
87	2660.574706	3189.08	0.866336	14.625324
88	2666.269139	3253.55	0.877458	14.6667
89	2678.21591	3292.74	0.889576	14.6940293
90	2713.061471	3308.33	0.892684	14.697609
91	2763.538023	3318.45	0.902106	14.7065
92	2793.250759	3363.4	0.90399074	14.71683
93	2813.459843	3387.15834	0.917756	14.8262
94	2831.205461	3394.22	0.92092847	14.86508
95	2836.675595	3397.54	0.9271593	14.88666057
96	2848.149188	3480.87845	0.948207	14.953147
97	2936.495097	3484.47	0.9568209	14.9622
98	3043.174999	3591.47	0.9671452	14.97795
99	3075.887957	3619.71	0.9711337	15.015265
100	3236.19648	3653.95	0.971194	15.1325
101	3554.393162	3683.34	0.971424	15.1495
102	3589.029228	3860.04	0.9840128	15.1935985
103	3599.068375	3971.57301	0.993047	15.306388
104	3899.136387	4018.18	0.99562	15.42447
105	3907.752916	4449.48008	1.0052518	15.4435517
106	3970.611333	4466.00027	1.0053017	15.469269
107	4101.282921	4534.78	1.0053706	15.5356
108	4777.857757	5176	1.0080344	15.699567
109	4929.682941	5342.58601	1.01279354	15.800709
110	4985.628435	5388.79	1.024872	15.890068
111	5234.006683	5559.72	1.0251908	16.29143
112	5306.191632	5569.52879	1.032936	16.338
113	6637.746349	5633.97	1.03497266	16.414407
114	6676.463664	6721.09	1.03720259	16.8488
115	7661.944537	6832.31	1.05777263	16.91567039
116	22567.88827	7118.63	1.089521169	17.096052
117	24919.71625	7814.9	1.09083557	18.134194
118	28412.89625	7814.9	1.1285345	43.89212
