Op	TF(CudaLib)	TVM	Ansor	Roller-Top1	Roller-Top10
C0	1.2987129926681518	2.5977797692307694	2.90013	3.0982	2.8616
C1	2.5198421478271484	2.841456333333334	3.43256	3.1699	2.8653
C10	7.278103351593018	8.972099833333333	8.42192	8.9046	8.1363
C11	2.9809481620788576	3.62613975	2.9981999999999998	3.6388	3.4848
C12	1.1140442848205567	1.046354505154639	1.12749	1.4257	0.86841
C13	3.5637884855270388	3.737918666666667	3.82179	5.1866	3.3329
C14	3.1012774229049684	3.307592064516129	3.04316	2.8042	2.5162
C15	1.3623601198196411	1.4125833661971832	1.21916	1.9283	1.454
C16	2.3212465047836304	4.203020291666667	3.31174	2.6836	2.5427
C17	1.338677215576172	1.3532874533333334	1.3251199999999999	1.5267	1.3927
C18	1.2895855188369751	1.387828870689655	1.55847	1.2725	1.1796
C19	1.2782558441162108	1.3474591764705883	1.25721	1.4608	1.244
C2	2.644219422340393	3.124709921568628	3.04349	3.3918	2.912
C20	1.2721368789672851	1.4319918857142857	1.27577	1.3332	1.2179
C21	1.0067831039428712	0.6153616500000001	0.646781	0.77827	0.70565
C22	2.2628483057022093	2.9053944857142855	2.89883	2.6021	2.3812
C23	1.6846959829330443	2.5708550769230767	2.46252	3.1535	2.6561
C24	12.127735614776611	17.735935166666664	17.6559	14.949	13.731
C25	1.3706889390945434	1.6561070819672132	1.46479	1.3284	1.1873
C26	1.5332300186157226	1.7567834891304348	1.43086	1.5301	1.3881
C27	0.7173539400100708	0.3488476896551724	0.47315999999999997	0.40448	0.39927999999999997
C28	2.426411581039429	2.408677738095238	2.4411799999999997	3.5031	2.5713
C29	1.4162895202636718	1.649917180327869	1.32101	1.5345	1.3805
C3	1.3724769115448	1.1797969647058824	1.62254	1.8241	1.3736
C30	2.365642237663269	4.10967828	3.88069	2.6936	2.4285
C31	2.3453174352645876	2.363400906976744	2.43065	3.3173	2.4908
C32	6.868558502197265	7.2126535	8.376349999999999	11.141	7.2646
C33	12.947707772254944	13.568208375	16.3546	15.355	14.781
C34	0.5525542020797729	0.376391581775701	0.416948	0.41193	0.39679000000000003
C35	2.5940659761428835	2.6830807631578946	2.40944	3.7448	3.372
C36	3.7467056035995485	3.13765978125	3.62897	3.4126	2.6279
C37	2.224019980430603	2.7281341621621618	2.6578	2.5584	2.2352
C38	1.2770936489105225	1.7918785614035089	2.96283	3.3236	2.8488
C39	5.013971638679505	6.108046764705882	5.794320000000001	6.1614	5.6527
C4	1.2936680316925049	3.16899871875	2.6698	3.6141	3.2146
C40	6.720264554023743	6.804061125	7.033440000000001	9.5196	7.019
C41	1.1096084594726563	1.0481203092783506	0.8810439999999999	1.4238	0.8674
C42	2.3449289083480833	3.431728033333333	3.71762	2.6057	2.5921
C43	4.569977569580078	4.638825727272727	5.48621	7.4656	4.9035
C5	1.2717039346694947	1.4581027101449275	1.52146	1.2948	1.208
C6	1.4663460731506348	1.4835020095238096	1.29942	1.397	1.3158
C7	2.272435688972473	2.712791027027027	2.6038300000000003	2.6468	2.3785
C8	2.0844062089920046	1.7320866724137933	2.26021	2.2991	2.028
C9	0.7568456888198852	0.47917455952380955	0.463072	0.7479600000000001	0.5468099999999999
D0	1.3924976110458374	0.5437928716216216	0.611069	0.85623	0.73057
D1	2.1605491399765016	1.1497754137931036	0.905004	0.92699	0.87971
D10	3.5959157705307008	1.67634615	1.33033	1.5068	1.5068
D11	2.299124813079834	0.31348362426614484	0.352162	0.95654	0.83193
D12	1.3710801362991334	0.2362522115384615	0.27144	0.54918	0.49215
D13	1.02431218624115	0.4370922288828338	0.5627559999999999	0.6231	0.62026
D14	0.4597369909286499	0.3070402375478927	0.228721	0.72342	0.68586
D15	1.5155943870544433	0.5397349163879598	0.802335	0.84323	0.80431
D16	6.212580609321594	3.805878592592593	2.97595	3.4587	3.4587
D17	0.809156346321106	0.29964755327102804	0.282306	1.0168	0.99774
D18	2.598117303848267	0.6461790890688258	1.4172099999999999	1.4121	1.3776
D19	0.9067156791687012	0.7181096071428571	0.478326	0.59233	0.54214
D2	0.4670947790145874	0.24817977588871717	0.222424	0.56089	0.53511
D20	9.47271387577057	5.415825842105262	6.87765	4.7489	4.7489
D21	0.5146250247955322	0.2223680209497207	0.225685	0.31135	0.31135
D22	0.2762428045272827	0.19561028711656442	0.275013	0.45507	0.37010000000000004
D3	2.5537846803665163	1.6689091999999999	1.30407	1.5152	1.5152
D4	2.306148076057434	0.6295908039215687	0.5597570000000001	1.1513	0.97345
D5	0.2683409214019775	0.13908206392294223	0.134399	0.40626999999999996	0.19318000000000002
D6	2.7654502391815186	0.46409648265895953	0.569244	1.0924	0.9752000000000001
D7	0.8336041212081909	0.3742690497630332	0.41746300000000003	0.5912200000000001	0.47783
D8	0.26313855648040774	0.22432463150492263	0.225437	0.32617	0.31056
D9	1.380754280090332	0.41792146493506493	0.593878	0.9064500000000001	0.8231900000000001
E0	2.319950890541077	5.9890003820	5.54967	6.1198	2.2457
E1	0.0659074068069458	0.1580663600	0.159065	0.17548	0.06420999999999999
E10	0.5143990516662598	1.2630029320	1.3128	1.2537	0.49977999999999995
E11	0.256105637550354	0.6360314080	0.628607	0.69517	0.2507
E12	1.156725287437439	2.8525728210	2.776	3.0732	1.1243
E13	0.1050248384475708	0.2504476220	0.25616099999999997	0.283	0.10457
E14	1.5066899299621581	3.7061473040	3.6133699999999997	4.0021	1.4626
E15	0.2561542510986328	0.6403867550	0.628663	0.69587	0.25061
E16	0.37921967506408694	0.9120574340	0.9270959999999999	1.0251	0.37592000000000003
E17	0.18963136672973632	0.4498565330	0.464751	0.5132899999999999	0.18897999999999998
E18	0.6269700288772583	1.6025168350	1.52545	1.6874	0.61791
E19	0.03443202972412109	0.0803607830	0.0808146	0.07977500000000001	0.033142000000000005
E2	0.25614151954650877	0.6358855120	0.628603	0.69231	0.25076
E20	0.12903547286987305	0.3147102700	0.315523	0.34911000000000003	0.12638
E21	0.7440370559692383	1.8953553720	1.80788	2.0009	0.7323099999999999
E22	0.7648201704025268	1.8748579900	1.8519	2.0486	0.75003
E23	1.4880394458770752	3.7819282520	3.5766299999999998	3.9521	1.4451
E24	0.3792541742324829	0.9125886160	0.9271210000000001	1.025	0.37612
E25	0.18972761631011964	0.4542690790	0.46473899999999996	0.5142100000000001	0.18903
E26	0.3688675880432129	0.8890869400	0.9052039999999999	1.001	0.36101
E27	0.5144176959991456	1.2802940290	1.25491	1.3886	0.49924
E3	0.12900309562683104	0.3151511540	0.315474	0.34708999999999995	0.12657
E4	3.4260015726089477	9.1205665240	8.15847	8.3617	3.2997
E5	0.7649317741394043	1.8688204980	1.85166	1.8503	0.7497999999999999
E6	0.4156289339065552	0.9944406450	1.12279	1.1252	0.4128
E7	1.1116418361663818	2.5408736440	2.5074300000000003	2.7772	0.99673
E8	1.0392009258270263	2.5420406030	2.50694	2.5057	0.99706
E9	0.12902121543884276	0.3180453520	0.339696	0.31468	0.12642
M0	0.36153972148895264	1.3941326944444445	0.30569199999999996	0.34242	0.30784
M1	0.1245567798614502	0.8128003065326633	0.189342	0.41475	0.29206
M2	0.12345194816589355	1.794329	0.10047199999999999	0.21430000000000002	0.14782
M3	39.57785263061523	82.4837925	44.5245	49.151	43.521
M4	10.105446648597717	36.99062625	11.2589	12.677	10.821
M5	39.75558953285217	411.6107005	47.0358	47.238	43.791
M6	295.58372309207914	385.98065175	327.14799999999997	414.59	360.26
P0	0.7167793989181519	1.4076924125	1.85406	0.84788	0.84788
P1	0.5182154417037964	0.5666878900	0.514165	0.45117	0.32648
P10	0.7988337516784668	0.4990585075	0.930252	0.28664	0.28664
P11	0.8128766298294068	0.5016051725	0.9301980000000001	0.27852	0.25407
P12	1.3088955402374267	1.0025223650	1.85491	0.56716	0.56716
P2	1.2218894481658935	1.7425184300	1.81251	0.5495399999999999	0.5495399999999999
P3	1.1156365394592285	2.3315252875	2.77878	1.3574	1.2885
P4	0.8704921245574951	1.1370706500	0.937234	0.51223	0.51223
P5	0.9403297185897828	1.0842915000	0.93386	0.56011	0.5292899999999999
P6	0.5655622482299805	0.2808204100	0.512696	0.44935	0.16359
P7	1.5813233375549316	2.9812985175	4.13115	1.9966	1.3711
P8	0.8886795759201049	1.4661681150	1.52736	1.3413	0.72272
P9	1.666140341758728	2.3112250000	1.81705	1.1461	1.1461
R0	0.3082246780395508	0.7374130560	0.30551900000000004	0.40124	0.35428
R1	0.3080127477645874	0.7379404380	0.305512	0.40172	0.35401
R2	0.30675439834594725	0.7008104390	0.374915	0.29852999999999996	0.29852999999999996
R3	0.10689060688018799	0.1627770950	0.074167	0.06626399999999999	0.066028
