OP	TF	TVM	Ansor	Roller-Top1	Roller-Top10	OP	TF	TVM	Ansor	Roller-Top1	Roller-Top10	OP	TF	TVM	Ansor	Roller-Top1	Roller-Top10	OP	TF	TVM	Ansor	Roller-Top1	Roller-Top10	OP	TF	TVM	Ansor	Roller-Top1	Roller-Top10
C0	1.21286006	2.597779769	2.695964938	2.8911	2.747	C28	2.310409117	2.408677738	2.970319385	3.2136	2.5099	D15	1.51459101	0.539734916	0.682937059	1.4488	1.2839	E22	0.764270072	0.8084082	1.8519	0.92669	0.737	C10	7.183917904	8.972099833	9.282696796	8.0251	7.6522
C1	2.419749904	2.841456333	2.817721604	2.7769	2.4792	C29	1.303496718	1.64991718	1.463860045	1.2486	1.2392	D17	0.80820097	0.299647553	0.285783655	1.9384	1.8939	E23	1.475795913	1.6080043	3.57663	1.7858	1.7858	C24	12.07620373	17.73593517	17.04501155	13.472	13.472
C2	2.531890941	3.146109	3.343116878	2.6239	2.6239	C30	2.250391293	4.10967828	3.371513796	2.6082	2.5771	D18	2.598062968	0.646179089	1.094923211	2.3151	2.1209	E24	0.380392971	0.3954515	0.927121	0.46432	0.3693	C32	6.797077322	7.2126535	8.522505775	9.3097	7.275
C3	1.253327417	1.179796965	1.438663323	1.6558	1.4585	C31	2.232994366	2.363400907	2.519772667	2.755	2.4212	D19	0.906424258	0.718109607	0.546363709	0.69749	0.59196	E25	0.190263104	0.1957744	0.464739	0.25698	0.1858	C33	15.50983448	13.56820838	16.16892672	17.6	15.989
C4	1.188363242	3.168998719	3.070977381	3.4792	3.3128	C34	0.432711387	0.376391582	0.377909085	0.36647	0.36647	D21	0.514377799	0.222368021	0.230933009	0.39226	0.33524	E26	0.37061753	0.378556	0.905204	0.5001	0.5001	C39	4.916551971	6.108046765	6.96867121	5.711	5.098
C5	1.155581689	1.45810271	1.439778073	1.2115	1.2115	C35	2.482110786	2.683080763	2.635142981	3.6328	3.1494	D22	0.275660284	0.195610287	0.220256064	0.89345	0.6745	E27	0.516322651	0.5425502	1.25491	0.69316	0.49854	C40	6.622936678	6.804061125	7.665755563	8.5423	7.9822
C6	1.337066293	1.48350201	1.306701663	1.1841	1.1841	C36	3.682391906	3.137659781	3.210450187	3.1422	2.4555	E1	0.066000345	0.0671476	0.159065	0.089029	0.064	P0	0.626018882	0.6025523	1.85406	0.70792	0.61003	C43	4.457764173	4.638825727	5.088321207	5.6323	4.8554
C7	2.147947383	2.712791027	2.792993455	2.3949	2.3405	C37	2.105358195	2.728134162	2.401973199	2.1444	2.1086	E2	0.257277176	0.3034226	0.628603	0.31515	0.25052	P1	0.431248279	0.2410714	0.514165	0.80704	0.2923	D16	6.212464213	3.805878593	3.447473895	4.7675	3.7893
C8	1.95898006	1.732086672	2.079839627	2.5794	2.1215	C38	1.156171417	1.791878561	2.700111948	2.859	2.859	E3	0.129467978	0.1365189	0.315474	0.1585	0.1263	P2	1.227348447	0.7436849	1.81251	0.47301	0.47301	D20	9.470054436	5.415825842	5.037128714	8.3331	4.8182
C9	0.62616868	0.47917456	0.462784473	0.78607	0.4926	C41	0.992956185	1.048120309	0.830017788	1.3824	0.85223	E5	0.76422878	0.8085661	1.85166	0.926659	0.73698	P3	1.123748755	1.0005326	2.77878	1.3429	1.0126	E0	2.295078826	2.5717311	5.54967	3.4285	2.2069
