OP	TF	TVM	Ansor	Roller-Top1	Roller-Top10	OP	TF	TVM	Ansor	Roller-Top1	Roller-Top10	OP	TF	TVM	Ansor	Roller-Top1	Roller-Top10	OP	TF	TVM	Ansor	Roller-Top1	Roller-Top10	OP	TF	TVM	Ansor	Roller-Top1	Roller-Top10
C11	2.86941278	3.62613975	2.807129892	3.8274	3.4194	C42	2.227801228	3.431728033	3.499405344	2.5704	2.3439	E6	0.417266922	0.4272145	1.12279	0.56331	0.40532	P4	0.785290315	0.4705834	0.937234	0.50144	0.50144	E4	3.373291659	3.8575049	8.15847	4.0791	3.2428
C12	0.988089275	1.046354505	0.834584764	1.4071	0.84412	D0	1.391868737	0.543792872	0.560350749	0.86568	0.79688	E7	1.036576152	1.0875212	2.50743	1.2554	0.9954	P5	0.719905899	0.4614797	0.93386	0.48122	0.47964	M3	39.97936702	82.4837925	44.0934	46.597	42.551
C13	3.448447585	3.737918667	3.741324788	5.5957	3.1721	D1	2.15719893	1.149775414	2.282576732	1.7728	1.2353	E8	1.03659904	1.0877409	2.50694	1.2544	0.9952	P6	0.325852046	0.1195103	0.512696	0.86759	0.18727	M4	10.38655615	36.99062625	11.2437	11.036	10.839
C14	2.989216661	3.307592065	3.197194508	2.6244	2.6244	D2	0.466568556	0.248179776	0.241818214	1.1516	1.0812	E9	0.129441938	0.1363653	0.339696	0.15846	0.12637	P7	1.446764255	1.2776933	4.13115	1.2889	1.2796	M5	40.12814379	411.6107005	46.9193	46.733	43.071
C15	1.260003638	1.412583366	1.250131856	1.413	1.375	D3	2.553439307	1.6689092	1.429844643	2.2874	1.67	E10	0.516298022	0.5423713	1.3128	0.69302	0.49839	P8	0.651688924	0.6300039	1.52736	2.4164	0.64484	M6	297.6222923	385.9806518	327.148	409.01	341.79
C16	2.213079143	4.203020292	4.068185074	2.3062	2.3062	D4	2.378463786	0.629590804	0.534607999	1.1859	1.1787	E11	0.257271292	0.2724955	0.628607	0.34742	0.25012	P9	1.533798242	0.972337	1.81705	1.0748	1.0339						
C17	1.293493104	1.353287453	1.540842146	1.3839	1.3137	D5	0.272447662	0.139082064	0.13574585	0.89151	0.23341	E12	1.148577833	1.2303672	2.776	1.5331	1.1044	P10	0.56199477	0.2147042	0.930252	0.35507	0.25063						
C18	1.135461736	1.387828871	1.287394695	1.2629	1.1722	D6	2.761682699	0.464096483	0.537721932	1.1653	1.026	E13	0.105169308	0.1083674	0.256161	0.12879	0.10282	P11	0.594573681	0.214758	0.930198	0.44948	0.27388						
C19	1.164624453	1.347459176	1.33479911	1.1703	1.1703	D7	0.833112252	0.37426905	0.458758066	1.1257	0.76149	E14	1.493801522	1.5716857	3.61337	1.8075	1.437	P12	1.200080538	0.4371437	1.85491	0.78483	0.51716						
C20	1.155501366	1.431991886	1.344152361	1.2394	1.1724	D8	0.27470686	0.224324632	0.224253962	0.44818	0.39049	E15	0.25727721	0.273201	0.628663	0.25474	0.25036	R0	0.307793348	0.3092302	0.305519	0.37617	0.31375						
C21	0.887670159	0.61536165	0.69358018	0.77501	0.76949	D9	1.378240027	0.417921465	0.381156172	1.736	1.3465	E16	0.380359893	0.3953168	0.927096	0.51334	0.36941	R1	0.307754161	0.3091749	0.305512	0.37794	0.31185						
C22	2.152013659	2.905394486	2.769700915	2.3968	2.3535	D10	3.596467662	1.67634615	1.127559407	3.4292	1.7803	E17	0.190271087	0.1961765	0.464751	0.23308	0.18573	R2	0.306771221	0.2996923	0.374915	0.35904	0.35787						
C23	1.558500671	2.570855077	2.468081246	2.6721	2.5793	D11	2.298983386	0.313483624	0.276516607	0.85752	0.79889	E18	0.627781489	0.6799625	1.52545	0.76316	0.60626	R3	0.109086025	0.0692314	0.074167	0.065964	0.06575						
C25	1.241145849	1.656107082	1.421880962	1.1248	1.0621	D12	1.371302195	0.236252212	0.270332497	0.57887	0.51146	E19	0.034333251	0.0345424	0.0808146	0.041014	0.032982	M0	0.308030796	1.394132694	0.305689	0.331	0.3064						
C26	1.486492658	1.756783489	1.511994297	1.417	0.92429	D13	1.023994157	0.437092229	0.451258688	0.78192	0.67604	E20	0.129412498	0.1402563	0.315523	0.1585	0.1262	M1	0.102439468	0.812800307	0.187537	0.45018	0.3248						
C27	0.599121571	0.34884769	0.460335995	0.40263	0.40195	D14	0.459421015	0.307040238	0.333323876	1.5171	1.2492	E21	0.744803948	0.8066536	1.80788	0.90476	0.90476	M2	0.105252187	1.794329	0.100017	0.23587	0.16823						
