OP	TF(CudaLib)	Roller-Top1	Roller-Top10
M0	0.36153972148895264	0.34242	0.30784
M1	0.1245567798614502	0.41475	0.29206
M2	0.12345194816589355	0.21430000000000002	0.14782
M3	39.57785263061523	49.151	43.521
M4	10.105446648597717	12.677	10.821
M5	39.75558953285217	47.238	43.791
M6	295.58372309207914	414.59	360.26
C0	1.2987129926681518	3.0982	2.8616
C1	2.5198421478271484	3.1699	2.8653
C2	2.644219422340393	3.3918	2.912
C3	1.3724769115448	1.8241	1.3736
C4	1.2936680316925049	3.6141	3.2146
C5	1.2717039346694947	1.2948	1.208
C6	1.4663460731506348	1.397	1.3158
C7	2.272435688972473	2.6468	2.3785
C8	2.0844062089920046	2.2991	2.028
C9	0.7568456888198852	0.7479600000000001	0.5468099999999999
C10	7.278103351593018	8.9046	8.1363
C11	2.9809481620788576	3.6388	3.4848
C12	1.1140442848205567	1.4257	0.86841
C13	3.5637884855270388	5.1866	3.3329
C14	3.1012774229049684	2.8042	2.5162
C15	1.3623601198196411	1.9283	1.454
C16	2.3212465047836304	2.6836	2.5427
C17	1.338677215576172	1.5267	1.3927
C18	1.2895855188369751	1.2725	1.1796
C19	1.2782558441162108	1.4608	1.244
C20	1.2721368789672851	1.3332	1.2179
C21	1.0067831039428712	0.77827	0.70565
C22	2.2628483057022093	2.6021	2.3812
C23	1.6846959829330443	3.1535	2.6561
C24	12.127735614776611	14.949	13.731
C25	1.3706889390945434	1.3284	1.1873
C26	1.5332300186157226	1.5301	1.3881
C27	0.7173539400100708	0.40448	0.39927999999999997
C28	2.426411581039429	3.5031	2.5713
C29	1.4162895202636718	1.5345	1.3805
C30	2.365642237663269	2.6936	2.4285
C31	2.3453174352645876	3.3173	2.4908
C32	6.868558502197265	11.141	7.2646
C33	12.947707772254944	15.355	14.781
C34	0.5525542020797729	0.41193	0.39679000000000003
C35	2.5940659761428835	3.7448	3.372
C36	3.7467056035995485	3.4126	2.6279
C37	2.224019980430603	2.5584	2.2352
C38	1.2770936489105225	3.3236	2.8488
C39	5.013971638679505	6.1614	5.6527
C40	6.720264554023743	9.5196	7.019
C41	1.1096084594726563	1.4238	0.8674
C42	2.3449289083480833	2.6057	2.5921
C43	4.569977569580078	7.4656	4.9035
D0	1.3924976110458374	0.85623	0.73057
D1	2.1605491399765016	0.92699	0.87971
D2	0.4670947790145874	0.56089	0.53511
D3	2.5537846803665163	1.5152	1.5152
D4	2.306148076057434	1.1513	0.97345
D5	0.2683409214019775	0.40626999999999996	0.19318000000000002
D6	2.7654502391815186	1.0924	0.9752000000000001
D7	0.8336041212081909	0.5912200000000001	0.47783
D8	0.26313855648040774	0.32617	0.31056
D9	1.380754280090332	0.9064500000000001	0.8231900000000001
D10	3.5959157705307008	1.5068	1.5068
D11	2.299124813079834	0.95654	0.83193
D12	1.3710801362991334	0.54918	0.49215
D13	1.02431218624115	0.6231	0.62026
D14	0.4597369909286499	0.72342	0.68586
D15	1.5155943870544433	0.84323	0.80431
D16	6.212580609321594	3.4587	3.4587
D17	0.809156346321106	1.0168	0.99774
D18	2.598117303848267	1.4121	1.3776
D19	0.9067156791687012	0.59233	0.54214
D20	9.47271387577057	4.7489	4.7489
D21	0.5146250247955322	0.31135	0.31135
D22	0.2762428045272827	0.45507	0.37010000000000004
E0	2.319950890541077	6.1198	2.2457
E1	0.0659074068069458	0.17548	0.06420999999999999
E2	0.25614151954650877	0.69231	0.25076
E3	0.12900309562683104	0.34708999999999995	0.12657
E4	3.4260015726089477	8.3617	3.2997
E5	0.7649317741394043	1.8503	0.7497999999999999
E6	0.4156289339065552	1.1252	0.4128
E7	1.1116418361663818	2.7772	0.99673
E8	1.0392009258270263	2.5057	0.99706
E9	0.12902121543884276	0.31468	0.12642
E10	0.5143990516662598	1.2537	0.49977999999999995
E11	0.256105637550354	0.69517	0.2507
E12	1.156725287437439	3.0732	1.1243
E13	0.1050248384475708	0.283	0.10457
E14	1.5066899299621581	4.0021	1.4626
E15	0.2561542510986328	0.69587	0.25061
E16	0.37921967506408694	1.0251	0.37592000000000003
E17	0.18963136672973632	0.5132899999999999	0.18897999999999998
E18	0.6269700288772583	1.6874	0.61791
E19	0.03443202972412109	0.07977500000000001	0.033142000000000005
E20	0.12903547286987305	0.34911000000000003	0.12638
E21	0.7440370559692383	2.0009	0.7323099999999999
E22	0.7648201704025268	2.0486	0.75003
E23	1.4880394458770752	3.9521	1.4451
E24	0.3792541742324829	1.025	0.37612
E25	0.18972761631011964	0.5142100000000001	0.18903
E26	0.3688675880432129	1.001	0.36101
E27	0.5144176959991456	1.3886	0.49924
P0	0.7167793989181519	0.84788	0.84788
P1	0.5182154417037964	0.45117	0.32648
P2	1.2218894481658935	0.5495399999999999	0.5495399999999999
P3	1.1156365394592285	1.3574	1.2885
P4	0.8704921245574951	0.51223	0.51223
P5	0.9403297185897828	0.56011	0.5292899999999999
P6	0.5655622482299805	0.44935	0.16359
P7	1.5813233375549316	1.9966	1.3711
P8	0.8886795759201049	1.3413	0.72272
P9	1.666140341758728	1.1461	1.1461
P10	0.7988337516784668	0.28664	0.28664
P11	0.8128766298294068	0.27852	0.25407
P12	1.3088955402374267	0.56716	0.56716
R0	0.3082246780395508	0.40124	0.35428
R1	0.3080127477645874	0.40172	0.35401
R2	0.30675439834594725	0.29852999999999996	0.29852999999999996
R3	0.10689060688018799	0.06626399999999999	0.066028
