OP	Ansor	Autotvm
C0	2.90013	2.5977797692307694
C1	3.43256	2.841456333333334
C2	3.04349	3.124709921568628
C3	1.62254	1.1797969647058824
C4	2.6698	3.16899871875
C5	1.52146	1.4581027101449275
C6	1.29942	1.4835020095238096
C7	2.6038300000000003	2.712791027027027
C8	2.26021	1.7320866724137933
C9	0.463072	0.47917455952380955
C10	8.42192	8.972099833333333
C11	2.9981999999999998	3.62613975
C12	1.12749	1.046354505154639
C13	3.82179	3.737918666666667
C14	3.04316	3.307592064516129
C15	1.21916	1.4125833661971832
C16	3.31174	4.203020291666667
C17	1.3251199999999999	1.3532874533333334
C18	1.55847	1.387828870689655
C19	1.25721	1.3474591764705883
C20	1.27577	1.4319918857142857
C21	0.646781	0.6153616500000001
C22	2.89883	2.9053944857142855
C23	2.46252	2.5708550769230767
C24	17.6559	17.735935166666664
C25	1.46479	1.6561070819672132
C26	1.43086	1.7567834891304348
C27	0.47315999999999997	0.3488476896551724
C28	2.4411799999999997	2.408677738095238
C29	1.32101	1.649917180327869
C30	3.88069	4.10967828
C31	2.43065	2.363400906976744
C32	8.376349999999999	7.2126535
C33	16.3546	13.568208375
C34	0.416948	0.376391581775701
C35	2.40944	2.6830807631578946
C36	3.62897	3.13765978125
C37	2.6578	2.7281341621621618
C38	2.96283	1.7918785614035089
C39	5.794320000000001	6.108046764705882
C40	7.033440000000001	6.804061125
C41	0.8810439999999999	1.0481203092783506
C42	3.71762	3.431728033333333
C43	5.48621	4.638825727272727
D0	0.611069	0.5437928716216216
D1	0.905004	1.1497754137931036
D2	0.222424	0.24817977588871717
D3	1.30407	1.6689091999999999
D4	0.5597570000000001	0.6295908039215687
D5	0.134399	0.13908206392294223
D6	0.569244	0.46409648265895953
D7	0.41746300000000003	0.3742690497630332
D8	0.225437	0.22432463150492263
D9	0.593878	0.41792146493506493
D10	1.33033	1.67634615
D11	0.352162	0.31348362426614484
D12	0.27144	0.2362522115384615
D13	0.5627559999999999	0.4370922288828338
D14	0.228721	0.3070402375478927
D15	0.802335	0.5397349163879598
D16	2.97595	3.805878592592593
D17	0.282306	0.29964755327102804
D18	1.4172099999999999	0.6461790890688258
D19	0.478326	0.7181096071428571
D20	6.87765	5.415825842105262
D21	0.225685	0.2223680209497207
D22	0.275013	0.19561028711656442
E0	5.54967	5.9890003820
E1	0.159065	0.1580663600
E2	0.628603	0.6358855120
E3	0.315474	0.3151511540
E4	8.15847	9.1205665240
E5	1.85166	1.8688204980
E6	1.12279	0.9944406450
E7	2.5074300000000003	2.5408736440
E8	2.50694	2.5420406030
E9	0.339696	0.3180453520
E10	1.3128	1.2630029320
E11	0.628607	0.6360314080
E12	2.776	2.8525728210
E13	0.25616099999999997	0.2504476220
E14	3.6133699999999997	3.7061473040
E15	0.628663	0.6403867550
E16	0.9270959999999999	0.9120574340
E17	0.464751	0.4498565330
E18	1.52545	1.6025168350
E19	0.0808146	0.0803607830
E20	0.315523	0.3147102700
E21	1.80788	1.8953553720
E22	1.8519	1.8748579900
E23	3.5766299999999998	3.7819282520
E24	0.9271210000000001	0.9125886160
E25	0.46473899999999996	0.4542690790
E26	0.9052039999999999	0.8890869400
E27	1.25491	1.2802940290
M0	0.30569199999999996	1.3941326944444445
M1	0.189342	0.8128003065326633
M2	0.10047199999999999	1.794329
M3	44.5245	82.4837925
M4	11.2589	36.99062625
M5	47.0358	411.6107005
M6	327.14799999999997	385.98065175
P0	1.85406	1.4076924125
P1	0.514165	0.5666878900
P2	1.81251	1.7425184300
P3	2.77878	2.3315252875
P4	0.937234	1.1370706500
P5	0.93386	1.0842915000
P6	0.512696	0.2808204100
P7	4.13115	2.9812985175
P8	1.52736	1.4661681150
P9	1.81705	2.3112250000
P10	0.930252	0.4990585075
P11	0.9301980000000001	0.5016051725
P12	1.85491	1.0025223650
R0	0.30551900000000004	0.7374130560
R1	0.305512	0.7379404380
R2	0.374915	0.7008104390
R3	0.074167	0.1627770950
