ResNeXt	TF-1.15.2	TF-XLA-1.15.2	TF-TRT-7.0	TVM-0.7	Rammer-Base	Rammer
BS1	48.49841	88.775537	11.28633	10.523219	10.939719	4.629117
BS4	54.441547	87.342739	14.418173	17.534709	17.79241	10.793817
BS16	74.389243	97.049117	24.116278	41.275406	43.56834	33.081688
