LSTM	TF-1.15.2	TF-XLA-1.15.2	TRT-7.0	TVM-0.7	Rammer-Base	Rammer
BS1	160.374894	71.875579	9.51032	30.546374	29.714262	4.725813
BS4	189.050913	96.793525	9.66904	38.245595	39.110828	6.52425
BS16	174.837397	98.065437	9.54827	78.384567	69.789597	8.707026
