Batch	Ansor	Autotvm
M512	2427.048090000004	1952.4948773384094
M1K	2239.0739399999984	3747.887714624405
M2K	2714.9077499999953	4508.283730745316
M4K	2685.7104500000023	3611.506828546524
M8K	3248.988599999997	11561.609383583069
M16K	4161.6954200000055	2894.8307390213013
C128	2427.048090000004	1952.4948773384094
C256	2239.0739399999984	3747.887714624405
C512	2714.9077499999953	4508.283730745316
C1K	2685.7104500000023	3611.506828546524
C2K	3248.988599999997	11561.609383583069
C4K	4161.6954200000055	2894.8307390213013
C8K	4229.094899999999	1962.917331457138
