Batch	TVM	Ansor	Roller-Top1	Roller-Top10
M512	1952.494877	2427.04809	0.9437735	16.591
M1K	3747.887715	2239.07394	0.970877	14.511589
M2K	4508.283731	2714.90775	0.99007	11.76
M4K	3611.50682	2685.7104	1.0137827	13.914988
M8K	11561.60938	3248.9886	0.9912486	13.4309544
M16K	2894.83073	4161.69542	1.007507	13.82065
C128	1962.917331	4229.0949	1.01686501	14.73619
C256	2716.862066	3927.13805	1.009742	14.359612
C512	4681.348466	6453.86348	0.99293	12.033034
C1K	6858.661836	10805.0053	1.011126	12.524572
C2K	10890.54096	NA	0.97665095	15.9526
C4K	20489.6788	NA	0.98668	21.85888
C8K	34389.36843	NA	0.96278	34.03948
