Batch	Roller-Top1	Roller-Top10
M512	0.003212451934814453	9.875121116638184
M1K	0.003208637237548828	10.463651418685913
M2K	0.0032508373260498047	11.017571687698364
M4K	0.003309011459350586	10.531888961791992
M8K	0.003225564956665039	11.641899108886719
M16K	0.0033597946166992188	12.115272760391235
C128	0.005476474761962891	11.644155740737915
C256	0.005183696746826172	11.054386615753174
C512	0.00522160530090332	12.06087851524353
C1K	0.005207538604736328	12.475372076034546
C2K	0.0051174163818359375	16.14275884628296
C4K	0.0059795379638671875	23.22381329536438
C8K	0.005225658416748047	42.75435495376587
