OP	TVM	Ansor	Roller-Top1	Roller-Top10
M512	1952.4948773384094	2427.048090000004	0.003212451934814453	9.875121116638184
M1K	3747.887714624405	2239.0739399999984	0.003208637237548828	10.463651418685913
M2K	4508.283730745316	2714.9077499999953	0.0032508373260498047	11.017571687698364
M4K	3611.506828546524	2685.7104500000023	0.003309011459350586	10.531888961791992
M8K	11561.609383583069	3248.988599999997	0.003225564956665039	11.641899108886719
M16K	2894.8307390213013	4161.6954200000055	0.0033597946166992188	12.115272760391235
C128	1952.4948773384094	2427.048090000004	0.005476474761962891	11.644155740737915
C256	3747.887714624405	2239.0739399999984	0.005183696746826172	11.054386615753174
C512	4508.283730745316	2714.9077499999953	0.00522160530090332	12.06087851524353
C1K	3611.506828546524	2685.7104500000023	0.005207538604736328	12.475372076034546
C2K	11561.609383583069	3248.988599999997	0.0051174163818359375	16.14275884628296
C4K	2894.8307390213013	4161.6954200000055	0.0059795379638671875	23.22381329536438
C8K	1962.917331457138	4229.094899999999	0.005225658416748047	42.75435495376587
