OP	Ansor	Roller-base	Roller-fuse	Roller-pad(e=0.4)	Roller-pad(e=1.0)
C9	0.462784473	1.0513	0.78933	0.69065	0.4926
C12	0.834584764	1.6445	1.4442	1.3165	0.84412
C13	3.741324788	5.3072	5.7291	5.7291	3.1721
C15	1.250131856	2.5299	1.3746	1.3746	1.3746
C28	2.970319385	4.1479	2.5094	2.5094	2.5094
C36	3.210450187	6.5984	3.1367	2.4555	2.4555
