Batch	TF	TVM	Ansor	Roller-Top1	Roller-Top10
128	2.257627296	4.11633144	3.17169	2.6043	2.5752
256	4.475135589	7.659730857	6.60389	5.1819	4.6308
512	9.6411551	15.88085914	12.5195	10.155	9.2208
1024	18.79734573	30.48107675	24.8607	19.592	18.276
2048	36.9006613	60.41895875	N/A	37.668	36.315
4096	75.03213177	144.378916	N/A	75.358	72.474
8192	149.4898	293.7075898	N/A	152.04	144.92
