Batch	TF	TVM	Ansor	Roller-Top1	Roller-Top10
128	2.427689218521118	4.11633144	3.03213	2.7133	2.4301
256	4.651677036285401	7.659730857142858	6.10794	4.8921	4.7147
512	9.79516167640686	15.284021285714285	12.2767	9.5903	9.2461
1024	18.884269762039185	30.48107675	23.6591	18.954	18.354
2048	36.964416646957396	60.41895875	0	37.799	36.672
4096	74.96989464759827	120.221893	0	75.71	73.219
8192	149.4502489566803	293.70758975	0	151.4	146.33
