reg_x,reg_y,smem_x,smem_y,redu_step,GFLOPS
16,4,8,4,2,37.53236812
16,4,16,2,2,37.53217398
16,4,2,16,2,37.53178588
16,4,16,2,16,37.53164814
16,4,4,8,4,37.53145384
16,4,8,4,4,37.53134792
16,4,16,2,4,37.53112447
16,4,2,16,8,37.53085246
16,4,4,8,16,37.53072393
16,4,8,4,8,37.53047006
16,4,16,2,8,37.53035013
16,4,4,8,32,37.5229881
16,4,16,2,32,37.52111908
16,4,2,16,16,37.51716684
16,4,2,16,32,37.51678025
16,4,8,4,32,37.51631851
16,4,8,4,16,37.5019456
16,4,4,8,8,37.49314563
4,16,4,8,8,37.48415794
4,16,2,16,2,37.48327757
4,16,16,2,2,37.48326196
4,16,8,4,4,37.48316515
4,16,2,16,16,37.48217
16,4,2,16,4,37.45106395
4,16,2,16,8,37.43527448
16,4,4,8,1,37.43412814
4,16,8,4,2,37.4341136
4,16,2,16,4,37.43407194
4,16,2,16,1,37.43378397
4,16,16,2,4,37.43374514
16,4,2,16,1,37.43371384
4,16,32,1,2,37.43367022
4,16,16,2,8,37.43360513
4,16,32,1,4,37.43359452
4,16,4,8,1,37.43358007
4,16,8,4,1,37.43337344
16,4,16,2,1,37.43333478
16,4,8,4,1,37.43332486
16,4,1,32,2,37.43327406
4,16,16,2,1,37.43317741
16,4,1,32,4,37.43302552
4,16,32,1,8,37.43297472
4,16,32,1,1,37.43297113
16,4,1,32,32,37.43271524
16,4,32,1,2,37.43264426
16,4,1,32,8,37.43250178
16,4,1,32,16,37.43173175
4,16,8,4,16,37.43117589
4,16,32,1,16,37.43072694
4,16,32,1,32,37.42536171
4,16,4,8,32,37.42289337
4,16,16,2,32,37.42060697
4,16,2,16,32,37.42059629
4,16,8,4,32,37.41699631
16,4,32,1,16,37.414999
16,4,4,8,2,37.41444039
4,16,4,8,16,37.40983047
4,16,16,2,16,37.40669161
4,16,8,4,8,37.38655153
4,16,1,32,4,37.3859762
4,16,1,32,2,37.3844847
16,4,32,1,1,37.38353138
16,4,32,1,8,37.3822821
4,16,4,8,4,37.37721943
16,4,32,1,4,37.36821015
4,16,1,32,16,37.36531644
4,16,1,32,8,37.3358045
4,16,4,8,2,37.21240916
16,4,1,32,1,37.19136108
4,16,1,32,1,37.0376469
8,8,1,32,16,36.77902895
8,8,1,32,4,36.77754999
8,8,1,32,8,36.77750921
8,8,32,1,2,36.77709594
8,8,1,32,1,36.77707943
8,8,4,8,1,36.77707448
8,8,1,32,2,36.77704443
8,8,1,32,32,36.77698565
8,8,32,1,1,36.7763926
8,8,8,4,1,36.77634835
8,8,16,2,1,36.77609939
8,8,32,1,32,36.77008346
8,8,32,1,16,36.75312272
8,8,32,1,8,36.72932001
8,8,16,2,2,36.65908503
8,8,8,4,4,36.65904311
8,8,2,16,2,36.65840506
8,8,32,1,4,36.64977991
8,8,2,16,16,36.63849009
8,8,4,8,8,36.62101911
8,8,4,8,16,36.54214591
8,8,4,8,4,36.54133091
8,8,16,2,16,36.54126979
8,8,8,4,8,36.54108617
8,8,8,4,2,36.54095896
8,8,16,2,8,36.54092302
8,8,2,16,8,36.54065763
8,8,16,2,4,36.54062515
8,8,16,2,32,36.53783701
8,8,4,8,32,36.53199155
8,8,8,4,32,36.53098355
8,8,2,16,32,36.52832637
8,8,8,4,16,36.51952275
8,8,2,16,4,36.47821411
