reg_x,reg_y,smem_x,smem_y,redu_step,GFLOPS
8,8,2,16,1,36.43002316
8,8,4,8,2,36.29733685
2,16,2,16,2,32.99933936
2,16,8,4,4,32.99921175
2,16,16,2,2,32.99913545
2,16,4,8,8,32.9990862
2,16,32,1,8,32.99906008
2,16,32,1,2,32.9990307
2,16,32,1,4,32.99858461
2,16,32,1,32,32.99834495
16,2,16,2,2,32.99755847
16,2,2,16,2,32.99747792
16,2,8,4,4,32.99693617
16,2,4,8,8,32.99636354
2,16,2,16,16,32.98448453
16,2,2,16,16,32.97256987
2,16,32,1,16,32.96676689
2,16,4,8,4,32.96182847
2,16,2,16,4,32.96180752
2,16,8,4,1,32.96151362
2,16,16,2,1,32.96147648
2,16,4,8,1,32.96147436
2,16,2,16,1,32.9610139
2,16,2,16,8,32.96097066
2,16,16,2,8,32.96086914
2,16,32,1,1,32.96079799
2,16,4,8,2,32.96063885
2,16,4,8,16,32.96040697
2,16,16,2,16,32.96035604
16,2,16,2,32,32.96029033
2,16,8,4,32,32.95956097
2,16,2,16,32,32.95941178
16,2,2,16,4,32.95917429
16,2,4,8,32,32.95908027
16,2,4,8,2,32.95905865
16,2,4,8,4,32.95870195
16,2,8,4,1,32.95841739
16,2,8,4,2,32.95838371
16,2,16,2,16,32.95829125
16,2,1,32,1,32.95825721
16,2,2,16,8,32.958175
16,2,16,2,4,32.95811612
16,2,8,4,8,32.9580552
16,2,4,8,16,32.9579766
16,2,4,8,1,32.95797292
16,2,2,16,1,32.95785677
16,2,2,16,32,32.95096021
16,2,8,4,32,32.94216523
2,16,16,2,32,32.9387545
2,16,4,8,32,32.93862206
2,16,8,4,16,32.93066828
2,16,1,32,2,32.92353738
2,16,1,32,4,32.92330622
2,16,1,32,16,32.92216197
2,16,1,32,8,32.92196159
16,2,1,32,32,32.92100035
16,2,1,32,2,32.92098963
16,2,32,1,2,32.92059512
16,2,32,1,4,32.92034456
16,2,32,1,8,32.91993207
16,2,1,32,16,32.91973622
16,2,8,4,16,32.91135022
2,16,8,4,8,32.90525479
16,2,32,1,1,32.88257922
16,2,32,1,16,32.87610023
16,2,16,2,8,32.86541987
16,2,1,32,8,32.86088075
2,16,16,2,4,32.84579053
16,2,1,32,4,32.73740388
4,8,4,8,1,32.73357371
4,8,2,16,1,32.73353604
4,8,2,16,2,32.73326948
8,4,2,16,4,32.73278319
4,8,8,4,32,32.73261604
4,8,4,8,2,32.73260035
4,8,16,2,1,32.7325959
8,4,4,8,4,32.73256098
8,4,4,8,2,32.73255065
8,4,2,16,2,32.73253678
8,4,8,4,4,32.73249192
8,4,8,4,2,32.73248708
4,8,8,4,1,32.73237775
8,4,16,2,4,32.73236702
8,4,32,1,2,32.73231471
4,8,32,1,1,32.73212768
4,8,2,16,4,32.73204398
8,4,16,2,2,32.73204032
4,8,16,2,2,32.73202541
4,8,32,1,2,32.73200841
8,4,1,32,1,32.73199114
4,8,4,8,4,32.73193975
8,4,32,1,4,32.73193216
8,4,2,16,8,32.73183865
8,4,4,8,1,32.73163332
8,4,16,2,32,32.73153707
4,8,32,1,32,32.73152072
8,4,2,16,1,32.73145337
4,8,2,16,8,32.73140263
8,4,8,4,1,32.73135084
4,8,2,16,16,32.7313082
8,4,4,8,32,32.7313082
4,8,16,2,8,32.73129401
4,8,2,16,32,32.73127551
4,8,16,2,4,32.73126936
8,4,4,8,8,32.73124177
4,8,32,1,4,32.7312334
4,8,32,1,8,32.73112394
4,8,32,1,16,32.73107934
4,8,8,4,16,32.73107934
4,8,8,4,8,32.73095255
8,4,8,4,8,32.7307541
8,4,16,2,16,32.7302947
8,4,32,1,8,32.73024815
8,4,4,8,16,32.73019662
8,4,2,16,32,32.71890528
4,8,4,8,32,32.71678188
4,8,16,2,32,32.71635723
8,4,32,1,32,32.71225831
4,8,4,8,16,32.70866648
8,4,8,4,32,32.70860118
16,2,16,2,1,32.70543999
8,4,2,16,16,32.70406356
4,8,16,2,16,32.68866461
8,4,32,1,16,32.68612127
8,4,8,4,16,32.68445852
4,8,4,8,8,32.6620287
4,8,1,32,2,32.65801616
8,4,1,32,2,32.65720299
8,4,32,1,1,32.65714285
4,8,1,32,4,32.65697465
4,8,1,32,8,32.65663304
8,4,1,32,32,32.65581096
8,4,1,32,16,32.65517637
8,4,16,2,8,32.64333966
4,8,1,32,32,32.63873429
4,8,1,32,16,32.62545937
2,16,8,4,2,32.61326285
4,8,8,4,4,32.60509088
8,4,1,32,8,32.58758762
2,16,1,32,1,32.55199486
8,4,1,32,4,32.48689621
4,8,8,4,2,32.38083991
8,4,16,2,1,32.32214268
4,8,1,32,1,31.95690861
1,16,32,1,16,26.46120018
1,16,4,8,32,26.46108078
1,16,16,2,16,26.46105984
1,16,16,2,32,26.46078163
16,1,2,16,32,26.46033292
1,16,4,8,16,26.46030142
1,16,2,16,8,26.4598585
16,1,8,4,32,26.45982012
16,1,16,2,16,26.45976581
1,16,8,4,8,26.45960433
1,16,16,2,8,26.45942178
16,1,2,16,8,26.45938546
16,1,4,8,16,26.45936875
16,1,4,8,8,26.45913096
16,1,2,16,16,26.45902153
1,16,16,2,4,26.45900909
1,16,2,16,4,26.45895696
1,16,8,4,2,26.45891936
1,16,4,8,2,26.45889851
16,1,16,2,8,26.45882408
16,1,8,4,8,26.45879271
16,1,4,8,4,26.4587534
16,1,16,2,4,26.45874093
16,1,8,4,4,26.45871461
16,1,2,16,1,26.45866299
16,1,4,8,2,26.45859804
1,16,4,8,1,26.45859189
16,1,2,16,2,26.45858437
16,1,2,16,4,26.45849208
16,1,16,2,1,26.45836082
16,1,8,4,2,26.45835843
1,16,8,4,1,26.45833758
1,16,16,2,1,26.45825554
16,1,4,8,1,26.45802652
16,1,8,4,1,26.45797662
16,1,4,8,32,26.43960195
1,16,8,4,32,26.43258513
1,16,2,16,32,26.43077288
1,16,32,1,1,26.42751623
1,16,8,4,16,26.41402371
16,1,16,2,32,26.4124937
2,8,1,32,16,26.40604783
2,8,4,8,16,26.40591194
2,8,16,2,16,26.40580171
2,8,16,2,8,26.40561442
2,8,2,16,1,26.4055951
2,8,8,4,8,26.40553075
2,8,1,32,2,26.40552565
2,8,2,16,32,26.4054487
2,8,2,16,8,26.40538938
2,8,8,4,32,26.40534231
2,8,2,16,4,26.40524562
2,8,8,4,1,26.40516341
2,8,8,4,2,26.40511745
2,8,1,32,4,26.40507778
4,4,1,32,16,26.40499284
2,8,16,2,4,26.40497752
4,4,1,32,4,26.40479335
2,8,16,2,1,26.40471607
4,4,4,8,1,26.40470381
2,8,4,8,1,26.40466909
2,8,4,8,2,26.40466432
4,4,2,16,16,26.40466194
2,8,4,8,4,26.40463011
4,4,2,16,1,26.40453155
8,2,16,2,4,26.40451521
4,4,1,32,2,26.40448934
4,4,4,8,8,26.40444611
8,2,2,16,2,26.40444474
4,4,2,16,2,26.40441853
8,2,4,8,32,26.40436355
4,4,32,1,4,26.40434943
8,2,2,16,4,26.40430789
4,4,16,2,1,26.40430006
4,4,8,4,4,26.40427266
8,2,4,8,4,26.40426551
8,2,1,32,4,26.40421019
2,8,32,1,1,26.40418024
8,2,16,2,8,26.40411862
8,2,32,1,4,26.40411045
8,2,16,2,32,26.40408696
8,2,4,8,16,26.40398254
8,2,1,32,32,26.40398058
8,2,1,32,16,26.40389999
8,2,8,4,2,26.40389088
8,2,32,1,16,26.4038722
4,4,32,1,1,26.40381735
8,2,8,4,16,26.40377433
8,2,32,1,2,26.40369991
8,2,1,32,8,26.40369123
8,2,4,8,2,26.40366247
8,2,32,1,8,26.40361166
8,2,2,16,1,26.40359813
8,2,1,32,1,26.40355047
8,2,16,2,2,26.40353788
8,2,2,16,8,26.40351031
8,2,16,2,1,26.40343678
8,2,4,8,8,26.4034115
8,2,8,4,1,26.40338095
8,2,4,8,1,26.40328428
16,1,8,4,16,26.39841082
8,2,8,4,32,26.38665206
2,8,16,2,32,26.38580217
4,4,1,32,32,26.38469739
8,2,32,1,32,26.38348649
8,2,2,16,32,26.37908993
2,8,4,8,32,26.37666927
2,8,1,32,32,26.37630833
16,1,32,1,16,26.36775597
1,16,1,32,8,26.36766855
1,16,1,32,4,26.36737652
1,16,1,32,2,26.3671214
16,1,1,32,16,26.36707333
4,4,1,32,8,26.3668366
16,1,32,1,4,26.36673917
16,1,32,1,2,26.36666992
16,1,1,32,2,26.36665465
16,1,1,32,4,26.36657878
16,1,32,1,1,26.36594657
1,16,1,32,1,26.36573748
2,8,8,4,16,26.36037749
8,2,2,16,16,26.35949735
2,8,32,1,32,26.35702312
2,8,32,1,16,26.35663406
4,4,8,4,32,26.35647193
4,4,2,16,4,26.35582799
2,8,32,1,4,26.35582341
4,4,16,2,8,26.35579738
4,4,2,16,32,26.35577236
4,4,4,8,4,26.35571504
4,4,4,8,16,26.35569457
2,8,32,1,2,26.35561007
4,4,16,2,16,26.35559248
4,4,16,2,4,26.35556293
4,4,2,16,8,26.35543514
4,4,8,4,8,26.3554114
4,4,4,8,2,26.35520511
4,4,8,4,2,26.35486629
1,16,1,32,16,26.34790767
8,2,16,2,16,26.34442796
1,16,2,16,16,26.33794104
16,1,1,32,32,26.33723687
1,16,4,8,8,26.3371754
1,16,32,1,8,26.33716786
1,16,32,1,2,26.33647889
1,16,32,1,4,26.33645739
1,16,16,2,2,26.33642978
1,16,2,16,2,26.33639388
1,16,8,4,4,26.33639033
4,4,4,8,32,26.33607266
4,4,16,2,32,26.32853948
8,2,8,4,8,26.32106897
1,16,32,1,32,26.31612762
2,8,2,16,16,26.30827056
4,4,32,1,32,26.30799332
2,8,2,16,2,26.30725881
2,8,4,8,8,26.30724724
2,8,8,4,4,26.30716622
4,4,32,1,2,26.30692562
4,4,8,4,1,26.30682087
4,4,32,1,16,26.30634121
8,2,32,1,1,26.30583487
4,4,8,4,16,26.30535499
16,1,32,1,8,26.29255038
2,8,1,32,8,26.28244066
1,16,4,8,4,26.26857463
4,4,32,1,8,26.26382709
16,1,1,32,8,26.25470665
2,8,32,1,8,26.17580572
8,2,8,4,4,26.12276135
16,1,16,2,2,26.08434687
8,2,1,32,2,26.05152669
4,4,16,2,2,25.97303018
2,8,16,2,2,25.95630084
16,1,1,32,1,25.91355728
4,4,1,32,1,25.80827796
2,8,1,32,1,25.65760839
1,16,2,16,1,25.62381798
2,4,16,2,32,18.94186852
2,4,32,1,32,18.94172335
2,4,2,16,32,18.94162781
2,4,16,2,16,18.94152948
4,2,32,1,8,18.94149628
2,4,32,1,16,18.94148393
4,2,16,2,8,18.94143987
4,2,4,8,32,18.94143836
4,2,8,4,16,18.94142551
4,2,16,2,32,18.94140885
2,4,4,8,32,18.9413885
4,2,32,1,16,18.94138018
4,2,16,2,16,18.94137418
2,4,1,32,16,18.94136297
4,2,1,32,16,18.9413451
2,4,32,1,8,18.94133836
2,4,8,4,16,18.94129101
4,2,2,16,32,18.94127284
2,4,16,2,8,18.94127214
2,4,1,32,4,18.94119164
2,4,2,16,8,18.9411792
2,4,1,32,2,18.94113296
2,4,2,16,4,18.9411291
2,4,8,4,2,18.94110913
2,4,1,32,8,18.94109853
2,4,2,16,2,18.94109126
2,4,32,1,2,18.94108706
4,2,1,32,8,18.94105605
4,2,32,1,32,18.94104158
2,4,4,8,2,18.94101454
4,2,16,2,4,18.94100963
4,2,32,1,4,18.94099649
1,8,4,8,2,18.9409809
4,2,2,16,8,18.94097433
1,8,2,16,4,18.94096776
1,8,1,32,2,18.94093255
2,4,16,2,4,18.94091609
2,4,16,2,1,18.94091153
4,2,1,32,4,18.94088403
2,4,32,1,4,18.94080555
2,4,16,2,2,18.9407742
1,8,32,1,4,18.94074161
1,8,2,16,8,18.9407389
4,2,2,16,4,18.94070133
1,8,4,8,4,18.94069765
1,8,8,4,4,18.94069449
1,8,8,4,8,18.94066174
8,1,8,4,32,18.94066012
4,2,1,32,2,18.9406288
8,1,2,16,32,18.94062626
1,8,16,2,8,18.94061987
8,1,16,2,32,18.940616
1,8,4,8,8,18.94055707
1,8,32,1,2,18.94055243
1,8,16,2,32,18.94053741
1,8,32,1,1,18.94049883
1,8,32,1,32,18.94048867
1,8,32,1,8,18.94048455
1,8,16,2,2,18.9404638
4,2,16,2,2,18.94044418
4,2,4,8,2,18.94043262
1,8,16,2,4,18.94037376
8,1,4,8,16,18.94037267
1,8,2,16,16,18.94035984
2,4,32,1,1,18.94034118
1,8,1,32,1,18.94031736
4,2,2,16,2,18.94031386
1,8,16,2,16,18.94031307
1,8,4,8,16,18.94027348
2,4,1,32,1,18.94027182
4,2,8,4,2,18.94026551
4,2,16,2,1,18.94022838
1,8,32,1,16,18.94021914
2,4,4,8,1,18.94020175
2,4,2,16,1,18.94019474
4,2,1,32,1,18.94015971
1,8,2,16,32,18.94011373
4,2,4,8,1,18.94010296
1,8,4,8,32,18.94006907
8,1,8,4,16,18.9400572
8,1,16,2,16,18.9400399
8,1,2,16,4,18.94003185
4,2,2,16,1,18.93996984
8,1,16,2,8,18.93995784
8,1,8,4,8,18.93995355
8,1,4,8,8,18.93990757
8,1,4,8,4,18.93979241
8,1,16,2,4,18.93962846
8,1,8,4,4,18.93961848
8,1,4,8,2,18.93953651
8,1,16,2,2,18.93949272
8,1,1,32,2,18.93944683
8,1,8,4,1,18.93917396
8,1,32,1,1,18.93907728
1,8,2,16,2,18.92514876
1,8,8,4,2,18.92474269
8,1,8,4,2,18.92380401
8,1,2,16,2,18.92372637
8,1,4,8,32,18.9209356
4,2,1,32,32,18.91507153
4,2,8,4,32,18.91107286
2,4,8,4,32,18.90916204
4,2,32,1,2,18.90915486
1,8,8,4,1,18.90904068
8,1,2,16,16,18.90866607
8,1,4,8,1,18.907841
8,1,2,16,1,18.90766644
8,1,16,2,1,18.90759801
2,4,4,8,16,18.90666168
1,8,8,4,32,18.90456822
2,4,1,32,32,18.90436813
1,8,8,4,16,18.89462277
4,2,4,8,16,18.88651015
2,4,2,16,16,18.87859087
4,2,2,16,16,18.87838169
2,4,8,4,4,18.87827084
2,4,4,8,8,18.87818645
4,2,4,8,8,18.87796336
1,8,1,32,4,18.87793273
4,2,8,4,4,18.87787792
1,8,16,2,1,18.87773419
8,1,1,32,32,18.8776359
1,8,1,32,16,18.87726307
1,8,1,32,32,18.87724867
4,2,32,1,1,18.8772254
1,8,2,16,1,18.87718295
8,1,1,32,16,18.87717255
8,1,1,32,4,18.8771304
8,1,32,1,8,18.87687524
8,1,1,32,8,18.87684566
8,1,32,1,4,18.8768454
2,4,8,4,8,18.85827335
8,1,32,1,32,18.8542936
8,1,2,16,8,18.85091773
4,2,8,4,8,18.83229448
8,1,32,1,16,18.82773308
1,8,1,32,8,18.81444997
4,2,4,8,4,18.80869941
2,4,4,8,4,18.77381297
8,1,32,1,2,18.65540002
2,4,8,4,1,18.42016703
1,8,4,8,1,18.4145709
4,2,8,4,1,18.34571723
8,1,1,32,1,18.04546852
4,1,8,4,8,12.11358399
4,1,8,4,16,12.11354634
4,1,16,2,8,12.11345538
4,1,16,2,16,12.11334855
4,1,2,16,16,12.11332032
4,1,2,16,8,12.11330585
4,1,2,16,4,12.11328443
4,1,16,2,4,12.11320906
4,1,8,4,4,12.11313211
4,1,4,8,2,12.11303296
4,1,4,8,4,12.1129457
1,4,1,32,2,12.11292607
2,2,32,1,8,12.11289325
2,2,16,2,8,12.11289146
2,2,8,4,16,12.11289035
2,2,1,32,2,12.11288394
1,4,4,8,16,12.1128838
4,1,1,32,2,12.11286503
1,4,16,2,8,12.11285048
2,2,1,32,16,12.11283573
2,2,1,32,4,12.11283479
2,2,16,2,16,12.11282222
2,2,8,4,8,12.11281459
1,4,32,1,8,12.11278536
2,2,16,2,4,12.11277934
1,4,2,16,16,12.11271082
4,1,4,8,32,12.11269456
2,2,2,16,1,12.11268564
1,4,16,2,16,12.11267045
1,4,8,4,32,12.11266117
1,4,4,8,1,12.11266042
2,2,4,8,32,12.11265143
1,4,2,16,8,12.1126496
2,2,32,1,32,12.11264226
2,2,1,32,8,12.11264144
1,4,4,8,32,12.11263737
1,4,8,4,1,12.11263119
2,2,32,1,4,12.11262546
1,4,32,1,32,12.11262253
1,4,2,16,2,12.11262145
1,4,32,1,16,12.11261916
1,4,4,8,8,12.11261572
2,2,8,4,32,12.11260193
1,4,8,4,2,12.11260168
1,4,4,8,4,12.11259996
4,1,16,2,1,12.11258076
1,4,2,16,4,12.11254824
1,4,32,1,4,12.11253921
1,4,2,16,1,12.1125372
2,2,32,1,16,12.1125242
1,4,16,2,32,12.11252252
4,1,16,2,2,12.11251715
1,4,4,8,2,12.1125054
1,4,16,2,4,12.11250253
4,1,8,4,32,12.11249206
2,2,1,32,32,12.11248186
1,4,16,2,1,12.1124776
2,2,4,8,1,12.11243749
1,4,8,4,4,12.11242961
2,2,8,4,1,12.11241915
4,1,2,16,1,12.11231657
4,1,8,4,1,12.11231141
4,1,32,1,1,12.11230281
2,2,16,2,1,12.11230109
4,1,4,8,1,12.11218304
1,4,32,1,2,12.11212287
4,1,2,16,2,12.10470427
4,1,8,4,2,12.10460983
2,2,2,16,2,12.10457921
2,2,4,8,2,12.10443956
2,2,8,4,2,12.1044347
2,2,16,2,2,12.10425041
4,1,2,16,32,12.10044599
1,4,2,16,32,12.09764354
4,1,32,1,8,12.09693984
4,1,1,32,16,12.0969377
4,1,32,1,4,12.09685103
4,1,1,32,4,12.09682359
4,1,1,32,8,12.09681609
4,1,32,1,16,12.09654226
4,1,1,32,32,12.0964968
1,4,32,1,1,12.09619613
1,4,1,32,16,12.09618488
1,4,1,32,8,12.09610061
4,1,32,1,32,12.0959423
1,4,1,32,32,12.09586743
1,4,16,2,2,12.0957872
2,2,2,16,32,12.09404717
4,1,16,2,32,12.08848633
2,2,16,2,32,12.08722087
2,2,4,8,16,12.08490444
2,2,2,16,4,12.07989553
2,2,4,8,4,12.07988057
2,2,2,16,16,12.07983646
2,2,2,16,8,12.07974626
2,2,32,1,1,12.07972809
2,2,8,4,4,12.07967195
4,1,4,8,16,12.07242544
1,4,8,4,16,12.06373392
1,4,8,4,8,12.03538775
4,1,4,8,8,12.03506114
1,4,1,32,4,12.02030558
2,2,4,8,8,12.00176241
4,1,32,1,2,11.73381833
2,2,32,1,2,11.71243698
1,4,1,32,1,11.57910025
4,1,1,32,1,11.54407453
2,2,1,32,1,11.24060937
2,1,16,2,32,7.032732105
2,1,32,1,32,7.032714029
2,1,4,8,32,7.032675245
1,2,16,2,32,7.032626668
2,1,2,16,32,7.032608677
1,2,8,4,32,7.032560874
1,2,2,16,32,7.032548002
2,1,1,32,32,7.032547193
2,1,1,32,4,7.032449163
2,1,4,8,16,7.032438707
2,1,32,1,8,7.032435205
2,1,2,16,16,7.032425425
1,2,1,32,16,7.032393647
1,2,1,32,32,7.032392367
1,2,16,2,8,7.032388889
1,2,1,32,8,7.032388068
2,1,32,1,4,7.032381162
2,1,8,4,16,7.032373145
2,1,2,16,4,7.032369378
2,1,8,4,4,7.032366287
1,2,4,8,4,7.032359526
2,1,16,2,8,7.032359236
1,2,2,16,16,7.032357739
2,1,16,2,16,7.032347476
1,2,16,2,16,7.032342937
2,1,4,8,4,7.032342236
2,1,1,32,8,7.032340401
2,1,2,16,8,7.032321808
1,2,4,8,16,7.032317316
1,2,16,2,4,7.032305629
1,2,8,4,4,7.032302055
2,1,8,4,8,7.032274673
1,2,2,16,8,7.03226965
1,2,1,32,4,7.032260233
1,2,4,8,8,7.032246179
1,2,2,16,2,7.032245069
2,1,1,32,1,7.03223483
2,1,4,8,8,7.032230822
1,2,32,1,2,7.03220373
1,2,16,2,2,7.032202184
2,1,32,1,2,7.032200059
1,2,8,4,2,7.032186731
1,2,4,8,1,7.03218306
1,2,4,8,2,7.032177845
1,2,16,2,1,7.032112747
1,2,1,32,1,7.032011916
1,2,32,1,1,7.03188984
2,1,1,32,2,7.027983536
1,2,1,32,2,7.027789251
2,1,2,16,2,7.023510956
2,1,8,4,2,7.023490916
2,1,8,4,1,7.023447175
2,1,16,2,2,7.019221315
2,1,4,8,2,7.019175703
1,2,4,8,32,7.01772493
1,2,32,1,32,7.015375004
1,2,32,1,4,7.015076949
1,2,32,1,8,7.014987418
1,2,32,1,16,7.014970334
2,1,2,16,1,7.014843683
2,1,4,8,1,7.014773332
1,2,8,4,1,7.014759877
2,1,16,2,1,7.014706442
2,1,8,4,32,7.014691461
2,1,32,1,16,7.002321441
2,1,1,32,16,6.99892725
1,2,8,4,16,6.997705948
1,2,8,4,8,6.97315665
2,1,16,2,4,6.971508114
1,2,2,16,4,6.956886787
2,1,32,1,1,6.745135427
1,2,2,16,1,6.667436547
1,1,8,4,8,3.778354549
1,1,2,16,8,3.778346101
1,1,4,8,8,3.778321731
1,1,16,2,8,3.778321341
1,1,4,8,16,3.778246535
1,1,2,16,16,3.778224453
1,1,8,4,16,3.778214221
1,1,2,16,32,3.778201277
1,1,16,2,4,3.778193422
1,1,4,8,32,3.778181886
1,1,16,2,2,3.778157902
1,1,16,2,16,3.778147308
1,1,16,2,32,3.778093055
1,1,32,1,2,3.778090546
1,1,8,4,2,3.778065121
1,1,4,8,4,3.778058876
1,1,1,32,2,3.778055307
1,1,4,8,2,3.778041034
1,1,2,16,4,3.777997433
1,1,2,16,2,3.777972901
1,1,32,1,1,3.777858831
1,1,1,32,1,3.77784389
1,1,4,8,1,3.777811109
1,1,2,16,1,3.777800851
1,1,8,4,1,3.777793046
1,1,1,32,4,3.776016273
1,1,32,1,4,3.775244644
1,1,1,32,16,3.774328825
1,1,1,32,8,3.774323998
1,1,1,32,32,3.774294394
1,1,32,1,32,3.774079816
1,1,8,4,32,3.768662923
1,1,32,1,16,3.763605844
1,1,32,1,8,3.735899024
1,1,8,4,4,3.691704489
1,1,16,2,1,3.547495449
